event,nps_bucket,total_responses,matches,mismatches,mismatch_rate
Rock Hart: Only Headliners Allowed,Promoter,172,165,7,4%
Rod Wave - Beautiful Mind Tour,Detractor,18,16,2,11%
Rod Wave - Beautiful Mind Tour,Passive,12,10,2,17%
Rod Wave - Beautiful Mind Tour,Promoter,56,53,3,5%
SOCA KINGDOM  - 40 YEARS OF MACHEL MONTANO,Detractor,55,44,11,20%
SOCA KINGDOM  - 40 YEARS OF MACHEL MONTANO,Passive,48,40,8,17%
SOCA KINGDOM  - 40 YEARS OF MACHEL MONTANO,Promoter,195,181,14,7%
Sebastian Maniscalco,Detractor,166,134,32,19%
Sebastian Maniscalco,Passive,71,67,4,6%
Sebastian Maniscalco,Promoter,123,114,9,7%
Showtime Boxing : Danny Garcia vs. Jose Benavidez Jr,Detractor,17,16,1,6%
Showtime Boxing : Danny Garcia vs. Jose Benavidez Jr,Passive,22,22,0,0%
Showtime Boxing : Danny Garcia vs. Jose Benavidez Jr,Promoter,63,62,1,2%
Tame Impala,Detractor,71,57,14,20%
Tame Impala,Passive,34,32,2,6%
Tame Impala,Promoter,183,174,9,5%
The New York Salsa Festival,Detractor,29,23,6,21%
The New York Salsa Festival,Passive,40,34,6,15%
The New York Salsa Festival,Promoter,177,169,8,5%
The Strokes,Detractor,165,129,36,22%
The Strokes,Passive,34,30,4,12%
The Strokes,Promoter,64,61,3,5%
WWE Friday Night Smackdown,Detractor,33,29,4,12%
WWE Friday Night Smackdown,Passive,35,31,4,11%
WWE Friday Night Smackdown,Promoter,115,110,5,4%
WWE Monday Night Raw,Detractor,79,64,15,19%
WWE Monday Night Raw,Passive,62,54,8,13%
WWE Monday Night Raw,Promoter,217,207,10,5%
Wiz Khalifa and Logic: Vinyl Verse Tour 2022,Detractor,10,9,1,10%
Wiz Khalifa and Logic: Vinyl Verse Tour 2022,Passive,6,5,1,17%
Wiz Khalifa and Logic: Vinyl Verse Tour 2022,Promoter,17,16,1,6%
"first round,Brooklyn Nets vs. Philadelphia 76ers",Detractor,22,16,6,27%
"first round,Brooklyn Nets vs. Philadelphia 76ers",Passive,28,25,3,11%
"first round,Brooklyn Nets vs. Philadelphia 76ers",Promoter,144,137,7,5%
"game two,Brooklyn Nets vs. Philadelphia 76ers",Detractor,34,30,4,12%
"game two,Brooklyn Nets vs. Philadelphia 76ers",Passive,41,37,4,10%
"game two,Brooklyn Nets vs. Philadelphia 76ers",Promoter,126,123,3,2%
