event,nps_bucket,total_responses,matches,mismatches,mismatch_rate
Bad Bunny - El Ultimo Tour Del Mundo,Promoter,235,223,12,5%
Bring Me The Horizon,Detractor,24,18,6,25%
Bring Me The Horizon,Passive,13,10,3,23%
Bring Me The Horizon,Promoter,58,53,5,9%
Brooklyn Nets,Detractor,3000,2384,616,21%
Brooklyn Nets,Passive,3000,2654,346,12%
Brooklyn Nets,Promoter,3000,2890,110,4%
Brooklyn Nets VS Atlanta Hawks,Detractor,9,7,2,22%
Brooklyn Nets VS Atlanta Hawks,Passive,8,8,0,0%
Brooklyn Nets VS Atlanta Hawks,Promoter,51,49,2,4%
Brooklyn Nets VS Charlotte Hornets,Detractor,9,9,0,0%
Brooklyn Nets VS Charlotte Hornets,Passive,12,10,2,17%
Brooklyn Nets VS Charlotte Hornets,Promoter,24,22,2,8%
Brooklyn Nets VS Miami Heat,Detractor,2,0,2,100%
Brooklyn Nets VS Miami Heat,Passive,1,1,0,0%
Brooklyn Nets VS Miami Heat,Promoter,16,14,2,13%
Brooklyn Nets VS Milwaukee Bucks,Detractor,9,9,0,0%
Brooklyn Nets VS Milwaukee Bucks,Passive,16,14,2,13%
Brooklyn Nets VS Milwaukee Bucks,Promoter,78,77,1,1%
Brooklyn Nets VS Minnesota Timberwolves,Detractor,6,4,2,33%
Brooklyn Nets VS Minnesota Timberwolves,Passive,10,9,1,10%
Brooklyn Nets VS Minnesota Timberwolves,Promoter,53,50,3,6%
Brooklyn Nets VS Washington Wizards,Detractor,6,5,1,17%
Brooklyn Nets VS Washington Wizards,Passive,5,3,2,40%
Brooklyn Nets VS Washington Wizards,Promoter,25,23,2,8%
Brooklyn Nets vs Detroit Pistons,Detractor,3,1,2,67%
Brooklyn Nets vs Detroit Pistons,Passive,3,1,2,67%
Brooklyn Nets vs Detroit Pistons,Promoter,22,22,0,0%
Brooklyn Nets vs Indiana Pacers,Detractor,1,1,0,0%
Brooklyn Nets vs Indiana Pacers,Passive,2,2,0,0%
Brooklyn Nets vs Indiana Pacers,Promoter,25,25,0,0%
Brooklyn Nets vs. Atlanta Hawks,Detractor,69,57,12,17%
Brooklyn Nets vs. Atlanta Hawks,Passive,61,56,5,8%
Brooklyn Nets vs. Atlanta Hawks,Promoter,344,335,9,3%
Brooklyn Nets vs. Boston Celtics,Detractor,307,246,61,20%
Brooklyn Nets vs. Boston Celtics,Passive,284,254,30,11%
Brooklyn Nets vs. Boston Celtics,Promoter,870,834,36,4%
Brooklyn Nets vs. Charlotte Hornets,Detractor,95,81,14,15%
Brooklyn Nets vs. Charlotte Hornets,Passive,118,107,11,9%
Brooklyn Nets vs. Charlotte Hornets,Promoter,593,576,17,3%
Brooklyn Nets vs. Chicago Bulls,Detractor,71,58,13,18%
Brooklyn Nets vs. Chicago Bulls,Passive,80,72,8,10%
Brooklyn Nets vs. Chicago Bulls,Promoter,375,360,15,4%
Brooklyn Nets vs. Cleveland Cavaliers,Detractor,107,83,24,22%
Brooklyn Nets vs. Cleveland Cavaliers,Passive,160,146,14,9%
Brooklyn Nets vs. Cleveland Cavaliers,Promoter,843,817,26,3%
Brooklyn Nets vs. Dallas Mavericks,Detractor,38,30,8,21%
Brooklyn Nets vs. Dallas Mavericks,Passive,68,58,10,15%
Brooklyn Nets vs. Dallas Mavericks,Promoter,326,323,3,1%
Brooklyn Nets vs. Denver Nuggets,Detractor,78,61,17,22%
Brooklyn Nets vs. Denver Nuggets,Passive,74,65,9,12%
Brooklyn Nets vs. Denver Nuggets,Promoter,268,257,11,4%
Brooklyn Nets vs. Detroit Pistons,Detractor,55,46,9,16%
Brooklyn Nets vs. Detroit Pistons,Passive,86,80,6,7%
Brooklyn Nets vs. Detroit Pistons,Promoter,291,278,13,4%
Brooklyn Nets vs. Golden State Warriors,Detractor,68,54,14,21%
Brooklyn Nets vs. Golden State Warriors,Passive,44,38,6,14%
Brooklyn Nets vs. Golden State Warriors,Promoter,183,180,3,2%
Brooklyn Nets vs. Houston Rockets,Detractor,41,31,10,24%
Brooklyn Nets vs. Houston Rockets,Passive,56,53,3,5%
Brooklyn Nets vs. Houston Rockets,Promoter,358,348,10,3%
Brooklyn Nets vs. Indiana Pacers,Detractor,92,70,22,24%
Brooklyn Nets vs. Indiana Pacers,Passive,117,106,11,9%
Brooklyn Nets vs. Indiana Pacers,Promoter,534,519,15,3%
Brooklyn Nets vs. LA Clippers,Detractor,39,31,8,21%
Brooklyn Nets vs. LA Clippers,Passive,41,35,6,15%
Brooklyn Nets vs. LA Clippers,Promoter,177,173,4,2%
Brooklyn Nets vs. Los Angeles Lakers,Detractor,166,116,50,30%
Brooklyn Nets vs. Los Angeles Lakers,Passive,130,116,14,11%
